ID,Field 1,Common,4-letter,Field4,Field5,Field6,Field7
1,,"Great Tinamou","GRTI",,"Tinamus major","TINMAJ",
2,,"Highland Tinamou","HITI",,"Nothocercus bonapartei","NOTBON",
3,,"Little Tinamou","LITI",,"Crypturellus soui","CRYSOU",
4,,"Thicket Tinamou","THTI",,"Crypturellus cinnamomeus","CRYCIN",
5,,"Slaty-breasted Tinamou","SBTI",,"Crypturellus boucardi","CRYBOU",
6,,"Choco Tinamou","CHTI",,"Crypturellus kerriae","CRYKER",
7,,"White-faced Whistling-Duck","WFWD",,"Dendrocygna viduata","DENVID",
8,,"Black-bellied Whistling-Duck","BBWD",,"Dendrocygna autumnalis","DENAUT",
9,,"West Indian Whistling-Duck","WIWD",,"Dendrocygna arborea","DENARB",
10,,"Fulvous Whistling-Duck","FUWD",,"Dendrocygna bicolor","DENBIC",
11,,"Bean Goose","BEGO",,"Anser fabalis","ANSFAB",
12,,"Pink-footed Goose","PFGO",,"Anser brachyrhynchus","ANSBRA",
13,,"Greater White-fronted Goose","GWFG",,"Anser albifrons","ANSALB",
14,,"Lesser White-fronted Goose","LWFG",,"Anser erythropus","ANSERY",
15,,"Emperor Goose","EMGO",,"Chen canagica","CHECAN",
16,,"Snow Goose","SNGO",,"Chen caerulescens","CHECAE",
17,"+","Lesser Snow Goose White-morph","LSGW",,"Chen c. caerulescens","CHECCA",
18,"+","Lesser Snow Goose Intermediate-morph","LSGI",,"Chen c. caerulescens","CHECCA",
19,"+","Lesser Snow Goose Blue-morph","LSGB",,"Chen c. caerulescens","CHECCA",
20,"+","Greater Snow Goose White-morph","GSGW",,"Chen c. atlantica","CHECAT",
21,"+","Greater Snow Goose Intermediate-morph","GSGI",,"Chen c. atlantica","CHECAT",
22,"+","Greater Snow Goose Blue-morph","GSGB",,"Chen c. atlantica","CHECAT",
23,"+","Snow X Ross's Goose Hybrid","SRGH",,"Chen caerul. x rossii","CHECAR",
24,,"Ross's Goose","ROGO",,"Chen rossii","CHEROS",
25,,"Brant","BRAN",,"Branta bernicla","BRABER",
26,"+","Atlantic Brant","ATBR",,"Branta b. bernicla","BRABBE",
27,"+","Brant Intergrade","BRIN",,"Branta b. bern. x nigri.","BRABBN",
28,"+","Black Brant","BLBR",,"Branta b. nigricans","BRABNI",
29,,"Barnacle Goose","BARG","*","Branta leucopsis","BRALEU",
30,,"Cackling Goose","CACG","*","Branta hutchinsii","BRAHUT",
31,"+","Aleutian Cackling Goose","ACGO",,"Branta h. leucopareia","BRAHLE",
32,"+","Minima Cackling Goose","MCGO",,"Branta h. minima","BRAHMI",
33,,"Canada Goose","CANG","*","Branta canadensis","BRACAN",
34,"+","Large Canada Goose","LCGO",,"Branta c. moffitti","BRACMO",
35,"+","Small Canada Goose","SCGO",,"Branta c. parvipes","BRACPA",
36,,"Hawaiian Goose","HAGO",,"Branta sandvicensis","BRASAN",
37,,"Mute Swan","MUSW",,"Cygnus olor","CYGOLO",
38,,"Trumpeter Swan","TRUS","*","Cygnus buccinator","CYGBUC",
39,,"Tundra Swan","TUSW",,"Cygnus columbianus","CYGCOL",
40,"+","Whistling Swan","WHSW",,"Cygnus c. columbianus","CYGCCO",
41,"+","Bewick's Swan","BESW",,"Cygnus c. bewickii","CYGCBE",
42,,"Whooper Swan","WHOS","*","Cygnus cygnus","CYGCYG",
43,,"Comb Duck","CODU",,"Sarkidiornis melanotos","SARMEL",
44,,"Orinoco Goose","ORGO",,"Neochen jubata","NEOJUB",
45,,"Muscovy Duck","MUDU",,"Cairina moschata","CAIMOS",
46,,"Wood Duck","WODU",,"Aix sponsa","AIXSPO",
47,,"Gadwall","GADW",,"Anas strepera","ANASTR",
48,,"Falcated Duck","FADU",,"Anas falcata","ANAFAL",
49,,"Eurasian Wigeon","EUWI",,"Anas penelope","ANAPEN",
50,,"American Wigeon","AMWI",,"Anas americana","ANAAME",
51,,"American Black Duck","ABDU",,"Anas rubripes","ANARUB",
52,"+","American Black Duck X Mallard Hybrid","ABDH",,"Anas rubripes x platy.","ANARUP",
53,,"Mallard","MALL",,"Anas platyrhynchos","ANAPLA",
54,"+","Mexican Duck","MEDU",,"Anas p. diazi","ANAPDI",
55,,"Mottled Duck","MODU",,"Anas fulvigula","ANAFUL",
56,,"Hawaiian Duck","HAWD","*","Anas wyvilliana","ANAWYV",
