ID,Survey Unit,Date,Begin,End,Survey duration,Species,# Observed,Age,Composition,Breeding Status,Notes
1,1.0000000000000000e+00,"04/27/06 00:00:00",1.4320000000000000e+03,1.4410000000000000e+03,9.0000000000000000e+00,"COME",2.0000000000000000e+00,,,"O",
2,1.0000000000000000e+00,"04/27/06 00:00:00",1.4320000000000000e+03,1.4410000000000000e+03,9.0000000000000000e+00,"CORA",2.0000000000000000e+00,,,"O",
3,1.0000000000000000e+00,"04/27/06 00:00:00",1.4320000000000000e+03,1.4410000000000000e+03,9.0000000000000000e+00,"HERG",6.0000000000000000e+00,,,"O",
4,1.0000000000000000e+00,"04/27/06 00:00:00",1.4320000000000000e+03,1.4410000000000000e+03,9.0000000000000000e+00,"SUSC",9.5000000000000000e+02,,"Even sex ratio","O",
5,2.0000000000000000e+00,"04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,6.1000000000000000e+01,"AGWT",1.6000000000000000e+01,,,"O",
6,2.0000000000000000e+00,"04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,6.1000000000000000e+01,"BAEA",1.0000000000000000e+00,,,"O",
7,2.0000000000000000e+00,"04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,6.1000000000000000e+01,"BAGO",2.0000000000000000e+00,,,"O",
8,2.0000000000000000e+00,"04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,6.1000000000000000e+01,"BOGU",2.0000000000000000e+00,,,"O",
9,2.0000000000000000e+00,"04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,6.1000000000000000e+01,"GWFG",1.0000000000000000e+00,,,"O",
10,2.0000000000000000e+00,"04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,6.1000000000000000e+01,"MALL",1.5000000000000000e+01,,,"O",
11,2.0000000000000000e+00,"04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,6.1000000000000000e+01,"MAMU",1.1000000000000000e+01,,,"O",
12,2.0000000000000000e+00,"04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,6.1000000000000000e+01,"MEGU",3.0000000000000000e+00,,,"O",
13,2.0000000000000000e+00,"04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,6.1000000000000000e+01,"UNGU",4.0000000000000000e+00,,,"O",
14,3.0000000000000000e+00,"04/27/06 00:00:00",1.2070000000000000e+03,1.2160000000000000e+03,9.0000000000000000e+00,"BOGU",6.0000000000000000e+00,,,"O",
15,3.0000000000000000e+00,"04/27/06 00:00:00",1.2070000000000000e+03,1.2160000000000000e+03,9.0000000000000000e+00,"HERG",4.0000000000000000e+00,,,"O",
16,3.0000000000000000e+00,"04/27/06 00:00:00",1.2070000000000000e+03,1.2160000000000000e+03,9.0000000000000000e+00,"MAMU",4.0000000000000000e+00,,,"O",
17,3.0000000000000000e+00,"04/27/06 00:00:00",1.2070000000000000e+03,1.2160000000000000e+03,9.0000000000000000e+00,"RBME",1.2000000000000000e+01,,,"O",
18,4.0000000000000000e+00,"04/27/06 00:00:00",1.1540000000000000e+03,1.2040000000000000e+03,5.0000000000000000e+01,"BAGO",6.0000000000000000e+00,,,"O",
19,4.0000000000000000e+00,"04/27/06 00:00:00",1.1540000000000000e+03,1.2040000000000000e+03,5.0000000000000000e+01,"COGO",2.0000000000000000e+00,,,"O",
20,4.0000000000000000e+00,"04/27/06 00:00:00",1.1540000000000000e+03,1.2040000000000000e+03,5.0000000000000000e+01,"HARD",2.0000000000000000e+00,,,"O",
21,4.0000000000000000e+00,"04/27/06 00:00:00",1.1540000000000000e+03,1.2040000000000000e+03,5.0000000000000000e+01,"LEYE",2.0000000000000000e+00,,,"O",
22,4.0000000000000000e+00,"04/27/06 00:00:00",1.1540000000000000e+03,1.2040000000000000e+03,5.0000000000000000e+01,"MAMU",2.0000000000000000e+00,,,"O",
23,4.0000000000000000e+00,"04/27/06 00:00:00",1.1540000000000000e+03,1.2040000000000000e+03,5.0000000000000000e+01,"RNGR",1.2000000000000000e+01,,,"O",
24,5.0000000000000000e+00,"04/27/06 00:00:00",1.1360000000000000e+03,1.1510000000000000e+03,1.5000000000000000e+01,"BAEA",2.0000000000000000e+00,,,"O",
25,5.0000000000000000e+00,"04/27/06 00:00:00",1.1360000000000000e+03,1.1510000000000000e+03,1.5000000000000000e+01,"BEKI",1.0000000000000000e+00,,,"O",
26,5.0000000000000000e+00,"04/27/06 00:00:00",1.1360000000000000e+03,1.1510000000000000e+03,1.5000000000000000e+01,"BOGU",5.0000000000000000e+00,,,"O",
27,5.0000000000000000e+00,"04/27/06 00:00:00",1.1360000000000000e+03,1.1510000000000000e+03,1.5000000000000000e+01,"MAMU",3.8000000000000000e+01,,,"O",
28,5.0000000000000000e+00,"04/27/06 00:00:00",1.1360000000000000e+03,1.1510000000000000e+03,1.5000000000000000e+01,"MEGU",2.0000000000000000e+00,,,"O",
29,5.0000000000000000e+00,"04/27/06 00:00:00",1.1360000000000000e+03,1.1510000000000000e+03,1.5000000000000000e+01,"SUSC",3.0000000000000000e+01,,,"O",
30,6.0000000000000000e+00,"04/27/06 00:00:00",1.1200000000000000e+03,1.1300000000000000e+03,1.0000000000000000e+01,"BOGU",6.0000000000000000e+00,,,"O",
31,6.0000000000000000e+00,"04/27/06 00:00:00",1.1200000000000000e+03,1.1300000000000000e+03,1.0000000000000000e+01,"BUFF",4.0000000000000000e+00,,,"O",
32,6.0000000000000000e+00,"04/27/06 00:00:00",1.1200000000000000e+03,1.1300000000000000e+03,1.0000000000000000e+01,"COGO",2.0000000000000000e+00,,,"O",
33,6.0000000000000000e+00,"04/27/06 00:00:00",1.1200000000000000e+03,1.1300000000000000e+03,1.0000000000000000e+01,"HERG",7.0000000000000000e+00,,,"O",
34,6.0000000000000000e+00,"04/27/06 00:00:00",1.1200000000000000e+03,1.1300000000000000e+03,1.0000000000000000e+01,"HOGR",2.0000000000000000e+00,,,"O",
35,6.0000000000000000e+00,"04/27/06 00:00:00",1.1200000000000000e+03,1.1300000000000000e+03,1.0000000000000000e+01,"MALL",6.2000000000000000e+01,,,"O",
36,6.0000000000000000e+00,"04/27/06 00:00:00",1.1200000000000000e+03,1.1300000000000000e+03,1.0000000000000000e+01,"MAMU",8.9000000000000000e+01,,,"O",
37,6.0000000000000000e+00,"04/27/06 00:00:00",1.1200000000000000e+03,1.1300000000000000e+03,1.0000000000000000e+01,"MEGU",4.0000000000000000e+00,,,"O",
38,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"AGWT",7.0000000000000000e+01,,,"O",
39,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"AMWI",5.9000000000000000e+01,,,"O",
40,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"BAEA",8.0000000000000000e+00,,,"O",
41,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"BAGO",8.0000000000000000e+00,,,"O",
42,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"BOGU",2.0000000000000000e+00,,,"O",
43,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"BUFF",1.4000000000000000e+01,,,"O",
44,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"COGO",3.0000000000000000e+00,,,"O",
45,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"GRYE",1.0000000000000000e+00,,,"O",
46,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"HERG",1.6000000000000000e+01,,,"O",
47,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"HOGR",1.0000000000000000e+00,,,"O",
48,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"MALL",2.2900000000000000e+02,,,"O",
49,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"MAMU",1.1000000000000000e+01,,,"O",
50,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"MEGU",2.6000000000000000e+01,,,"O",
51,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"NOPI",2.4000000000000000e+01,,,"O",
52,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"NSHO",1.0000000000000000e+01,,,"O",
53,7.0000000000000000e+00,"04/27/06 00:00:00",9.2500000000000000e+02,1.0070000000000000e+03,8.2000000000000000e+01,"RBME",5.0000000000000000e+00,,,"O",
54,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"AGWT",5.4000000000000000e+01,,,"O",
55,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"AMWI",4.8000000000000000e+01,,,"O",
56,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"BAEA",9.0000000000000000e+00,,,"O",
57,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"BAGO",1.0000000000000000e+00,,,"O",
58,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"BUFF",4.0000000000000000e+00,,,"O",
59,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"COGO",1.2000000000000000e+01,,,"O",
60,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"COME",2.3000000000000000e+01,,,"O",
61,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"CORA",1.0000000000000000e+00,,,"O",
62,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"GWGU",3.0000000000000000e+00,,,"O",
63,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"HERG",6.5000000000000000e+01,,,"O",
64,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"MALL",1.2700000000000000e+02,,,"O",
65,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"MEGU",3.4000000000000000e+01,,,"O",
66,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"RNDU",9.0000000000000000e+00,,,"O",
67,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"TRES",8.0000000000000000e+00,,,"O",
68,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"UNYE",6.0000000000000000e+00,,,"O",
69,8.0000000000000000e+00,"04/27/06 00:00:00",1.0300000000000000e+03,1.1050000000000000e+03,7.5000000000000000e+01,"VGSW",1.0000000000000000e+01,,,"O",
70,3.0000000000000000e+00,"05/04/06 00:00:00",1.6230000000000000e+03,1.6280000000000000e+03,5.0000000000000000e+00,"AGWT",2.0000000000000000e+00,,,"O",
71,3.0000000000000000e+00,"05/04/06 00:00:00",1.6230000000000000e+03,1.6280000000000000e+03,5.0000000000000000e+00,"MAMU",2.0000000000000000e+00,,,"O",
72,4.0000000000000000e+00,"05/04/06 00:00:00",1.6120000000000000e+03,1.6190000000000000e+03,7.0000000000000000e+00,"AGWT",6.0000000000000000e+00,,,"O",
73,4.0000000000000000e+00,"05/04/06 00:00:00",1.6120000000000000e+03,1.6190000000000000e+03,7.0000000000000000e+00,"BAGO",4.6000000000000000e+01,,,"O",
74,4.0000000000000000e+00,"05/04/06 00:00:00",1.6120000000000000e+03,1.6190000000000000e+03,7.0000000000000000e+00,"BUFF",7.0000000000000000e+00,,,"O",
75,4.0000000000000000e+00,"05/04/06 00:00:00",1.6120000000000000e+03,1.6190000000000000e+03,7.0000000000000000e+00,"GRSC",2.0000000000000000e+00,,,"O",
76,4.0000000000000000e+00,"05/04/06 00:00:00",1.6120000000000000e+03,1.6190000000000000e+03,7.0000000000000000e+00,"HARD",1.4000000000000000e+01,,,"O",
77,4.0000000000000000e+00,"05/04/06 00:00:00",1.6120000000000000e+03,1.6190000000000000e+03,7.0000000000000000e+00,"HOGR",9.0000000000000000e+00,,,"O",
78,4.0000000000000000e+00,"05/04/06 00:00:00",1.6120000000000000e+03,1.6190000000000000e+03,7.0000000000000000e+00,"MAMU",2.0000000000000000e+00,,,"O",
79,4.0000000000000000e+00,"05/04/06 00:00:00",1.6120000000000000e+03,1.6190000000000000e+03,7.0000000000000000e+00,"SUSC",1.0000000000000000e+00,,,"O",
80,5.0000000000000000e+00,"05/04/06 00:00:00",1.5450000000000000e+03,1.6030000000000000e+03,5.8000000000000000e+01,"AGWT",1.2000000000000000e+01,,,"O",
81,5.0000000000000000e+00,"05/04/06 00:00:00",1.5450000000000000e+03,1.6030000000000000e+03,5.8000000000000000e+01,"AMWI",1.2000000000000000e+01,,,"O",
