Event_ID,Location_ID,Event_Group_ID,Protocol_Name,Start_Date,Day,Month,Year,Observer,Temp,Wind_code,Wind_dir,Wave_ht,Cloud_Cover,Precip_Code,Tide,Tide_Level,Tide_State,Start_Time,End_Time,Duration,Event_Notes
"{05D25906-248C-44E9-AD53-CA7BB6924B72}","{5610FCBB-E781-4CB0-82BD-1033499FF0CB}",,,"05/10/12 00:00:00",10,5,2012,"{4161D0ED-2865-4BFA-ADC0-1A7D8F905777}",0,"5",0,"5","3","0",0,"M","R","12/30/99 14:35:00","12/30/99 16:47:00",132,
"{05F24163-5500-4EF9-A049-54677567ABE0}","{034D16D6-CC0E-49C6-968D-B1ACBCCED35A}",,,"06/04/09 00:00:00",4,6,2009,"20080710124324-533424019.813538",20,"3",210,"1","0","0",0,"L","F","12/30/99 15:55:00","12/30/99 16:05:00",10,
"{06AF51BA-5F81-44D5-88FD-C59BC8EEABC6}","{7582E039-BB5F-4F5F-8CE2-49083924343D}",,,"04/15/17 00:00:00",15,4,2017,"{D1845CFF-B71B-4AC1-867B-0286062D5646}",,"0",,"0","0","0",0,"L","F","12/30/99 08:44:00","12/30/99 10:45:00",121,"with E. Furbish and M. Konsler"
"{072AF07A-DC11-4314-B194-798BB2615A3F}","{2593DA32-C1AF-4C62-B61F-30A426B30AF1}",,,"06/27/12 00:00:00",27,6,2012,"{4161D0ED-2865-4BFA-ADC0-1A7D8F905777}",0,"2",0,"1","3","0",0,"L","F","12/30/99 12:10:00","12/30/99 12:35:00",25,
"{0742E2E0-2900-4B92-93B0-C4BD4866793C}","{67E9BD52-99A9-479D-B6A2-D898C0CB02E8}",,,"10/07/08 00:00:00",7,10,2008,"20080710124324-533424019.813538",5,"3",200,"1","0","0",0,"L","F","12/30/99 12:15:00","12/30/99 12:35:00",20,
"{07D1CA95-116A-4F4B-B48B-3F2D9DA9C086}","{23CC6674-CFCD-4C28-A43F-9DEE885AF11A}",,,"10/07/08 00:00:00",7,10,2008,"20080710124324-533424019.813538",2,"1",115,"0","0","0",0,"M","F","12/30/99 10:25:00","12/30/99 10:55:00",30,
"{085A5BF7-3968-431B-8248-0CE3F70F7599}","{16CD6221-4471-4665-9A5B-504C8948E34A}",,,"06/03/11 00:00:00",3,6,2011,"{4161D0ED-2865-4BFA-ADC0-1A7D8F905777}",0,"2",0,"2","3","0",0,"M","R","12/30/99 12:26:00","12/30/99 01:03:00",-683,
"{08E9F00F-E79D-43B6-9AE6-C6080F5151F3}","{2593DA32-C1AF-4C62-B61F-30A426B30AF1}",,,"07/29/08 00:00:00",29,7,2008,"Feierabend",13,"2",190,"1","3","0",0,"High","Falling","12/30/99 12:25:00","12/30/99 13:20:00",55,
"{092DBA57-55A3-426A-A737-D6422C16B4D1}","{16CD6221-4471-4665-9A5B-504C8948E34A}",,,"07/10/15 00:00:00",10,7,2015,"{727C450E-A80C-4DF1-8962-37590E279F94}",15,"1",170,"2","3","0",0,"M","R","12/30/99 10:05:00","12/30/99 10:12:00",7,"Assisted by YCC intern Jade Cook"
"{0958923E-A600-4A58-8250-24FEBC98E22C}","{034D16D6-CC0E-49C6-968D-B1ACBCCED35A}",,,"05/05/09 00:00:00",5,5,2009,"20080710124324-533424019.813538",20,"2",330,"2","0","0",0,"L","F","12/30/99 16:10:00","12/30/99 16:20:00",10,"Hooligan running in Taiya River."
