ID,Survey Unit,Date,Begin,End,Survey duration,Species,# Observed,Age,Composition,Breeding Status,Notes
1,"1","04/27/06 00:00:00",1.4320000000000000e+03,1.4410000000000000e+03,9,"COME",2.0000000000000000e+00,,,"O",
2,"1","04/27/06 00:00:00",1.4320000000000000e+03,1.4410000000000000e+03,9,"CORA",2.0000000000000000e+00,,,"O",
3,"1","04/27/06 00:00:00",1.4320000000000000e+03,1.4410000000000000e+03,9,"HERG",6.0000000000000000e+00,,,"O",
4,"1","04/27/06 00:00:00",1.4320000000000000e+03,1.4410000000000000e+03,9,"SUSC",9.5000000000000000e+02,,"Even sex ratio","O",
5,"2","04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,61,"AGWT",1.6000000000000000e+01,,,"O",
6,"2","04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,61,"BAEA",1.0000000000000000e+00,,,"O",
7,"2","04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,61,"BAGO",2.0000000000000000e+00,,,"O",
8,"2","04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,61,"BOGU",2.0000000000000000e+00,,,"O",
9,"2","04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,61,"GWFG",1.0000000000000000e+00,,,"O",
10,"2","04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,61,"MALL",1.5000000000000000e+01,,,"O",
11,"2","04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,61,"MAMU",1.1000000000000000e+01,,,"O",
12,"2","04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,61,"MEGU",3.0000000000000000e+00,,,"O",
13,"2","04/27/06 00:00:00",1.4560000000000000e+03,1.5170000000000000e+03,61,"UNGU",4.0000000000000000e+00,,,"O",
14,"3","04/27/06 00:00:00",1.2070000000000000e+03,1.2160000000000000e+03,9,"BOGU",6.0000000000000000e+00,,,"O",
15,"3","04/27/06 00:00:00",1.2070000000000000e+03,1.2160000000000000e+03,9,"HERG",4.0000000000000000e+00,,,"O",
16,"3","04/27/06 00:00:00",1.2070000000000000e+03,1.2160000000000000e+03,9,"MAMU",4.0000000000000000e+00,,,"O",
17,"3","04/27/06 00:00:00",1.2070000000000000e+03,1.2160000000000000e+03,9,"RBME",1.2000000000000000e+01,,,"O",
18,"4","04/27/06 00:00:00",1.1540000000000000e+03,1.2040000000000000e+03,50,"BAGO",6.0000000000000000e+00,,,"O",
19,"4","04/27/06 00:00:00",1.1540000000000000e+03,1.2040000000000000e+03,50,"COGO",2.0000000000000000e+00,,,"O",
20,"4","04/27/06 00:00:00",1.1540000000000000e+03,1.2040000000000000e+03,50,"HARD",2.0000000000000000e+00,,,"O",
21,"4","04/27/06 00:00:00",1.1540000000000000e+03,1.2040000000000000e+03,50,"LEYE",2.0000000000000000e+00,,,"O",
22,"4","04/27/06 00:00:00",1.1540000000000000e+03,1.2040000000000000e+03,50,"MAMU",2.0000000000000000e+00,,,"O",
23,"4","04/27/06 00:00:00",1.1540000000000000e+03,1.2040000000000000e+03,50,"RNGR",1.2000000000000000e+01,,,"O",
24,"5","04/27/06 00:00:00",1.1360000000000000e+03,1.1510000000000000e+03,15,"BAEA",2.0000000000000000e+00,,,"O",
25,"5","04/27/06 00:00:00",1.1360000000000000e+03,1.1510000000000000e+03,15,"BEKI",1.0000000000000000e+00,,,"O",
