Data_ID,Event_ID,Species,Num_ Observed,Age,Composition,Breeding_Plumage,Breeding_Status,Data_Location_ID,Notes
"20070506183525-107375323.77243","20070506163624-990735828.876495","COME",2.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-100214958.190918","20070506163624-149006664.75296","BAEA",2.0000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-101445436.477661","20070506163624-502492010.593414","HERG",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-101900339.126587","20070506163624-371118009.090424","HADU",1.0000000000000000e+00,"Ad","M",,"P",,"Paired."
"20070506183552-101909756.660461","20070506163624-523980081.08139","HERG",3.0000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-102179288.864136","20070506175816-56236863.1362915","COME",2.0000000000000000e+00,"Ad","F",,"X",,
"20070506183552-10275602.3406982","20070506163624-134092986.58371","HASE",1.0000000000000000e+00,"Unk","Unk",,"O",,"Harbor seal."
"20070506183552-103826642.036438","20070506175816-412766814.231873","HERG",6.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-105189085.006714","20070506163624-70730865.0016785","SESA",1.0000000000000000e+00,"Unk","Unk",,"O",,"Together with a LESA."
"20070506183552-105338335.037231","20070506163624-733093440.532684","BOGU",1.2000000000000000e+01,"Unk","Unk",,"X",,"Minimum count."
"20070506183552-105452656.745911","20070506163624-800465285.778046","AGWT",1.6000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-107122898.101807","20070506163624-70730865.0016785","MALL",1.5000000000000000e+01,"Unk","Mix",,"X",,"3:1 males to females.  Could not ascertain exact number of males and females."
"20070506183552-107543349.266052","20070506163624-965886533.260345","RNGR",6.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-107996821.403503","20070506163624-371118009.090424","BUFF",3.0000000000000000e+00,"Ad","F",,"O",,"With 1M."
"20070506183552-108785867.69104","20070506163624-524598896.503448","BWTE",2.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-108848333.358765","20070506163624-218578875.06485","SUSC",4.3500000000000000e+02,"Unk","Unk",,"P",,"Count approximate."
"20070506183552-109488487.243652","20070506175816-45649170.8755493","HADU",1.2000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-110386848.449707","20070506163624-315855920.314789","HADU",9.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-111181378.364563","20070506163624-156549394.130707","NOCR",6.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-111244201.660156","20070506163624-865830957.889557","GWGU",3.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-111432909.965515","20070506175816-378902554.512024","MEGU",3.4000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-11283040.0466919","20070506163624-218578875.06485","WWSC",1.0000000000000000e+00,"Ad","F",,"P",,
"20070506183552-113618969.917297","20070506175816-390291452.407837","BAEA",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-113767266.273499","20070506175749-14017641.544342","COME",6.0000000000000000e+00,"Unk","Unk",,"X",,
"20070506183552-114195466.041565","20070506163624-982142031.19278","PIGU",2.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-114332795.143127","20070506175816-378902554.512024","BAGO",1.2000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-114623308.181763","20070506163624-378900587.558746","HOGR",2.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-117231607.437134","20070506163624-144952952.861786","HADU",3.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-117824554.443359","20070506163624-850022971.630096","MEGU",,"Unk","Unk",,"O",,"Abundant: total gulls of all species number easily 2000."
"20070506183552-119544029.23584","20070506175816-261368274.688721","MALL",1.2700000000000000e+02,"Unk","Unk",,"O",,
"20070506183552-119792342.185974","20070506163624-322199761.867523","MEGU",3.4000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-120123505.592346","20070506163624-686908066.272736","MALL",2.2000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-121549963.951111","20070506163624-59037029.7431946","SUSC",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-121662020.683289","20070506163624-953128993.5112","UNWB",1.0000000000000000e+00,"Ad","F",,"P",,"Unidentified waterbird."
"20070506183552-122826933.860779","20070506163624-158544242.38205","BOGU",2.0000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-122914314.27002","20070506163624-432827174.663544","MEGU",7.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-123320698.738098","20070506163624-771041810.512543","GBHE",2.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-123594641.685486","20070506163624-306946814.060211","MAMU",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-124145269.393921","20070506163624-875327527.523041","AMWI",2.0000000000000000e+00,"Ad","F",,"P",,"Each paired with a M."
"20070506183552-124465584.754944","20070506163624-865830957.889557","HERG",3.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-12474656.1050415","20070506163624-394446194.171906","MEGU",2.0000000000000000e+00,"Unk","Unk",,"X",,
"20070506183552-125469803.81012","20070506175816-798884391.784668","GWGU",1.5000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-12555480.0033569","20070506163624-394446194.171906","BOGU",4.0000000000000000e+00,"Unk","Unk",,"X",,
"20070506183552-126507401.46637","20070506175816-980003237.724304","BAEA",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-126539587.974548","20070506175816-647821187.973022","GWTE",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-127061486.244202","20070506163624-31154453.754425","BAEA",1.0000000000000000e+00,"Ad","Unk",,"O",,
"20070506183552-127178192.138672","20070506163624-861620366.573334","BAGO",1.0000000000000000e+00,"Unk","F",,"O",,
"20070506183552-127216696.739197","20070506163624-790226399.898529","BOGU",8.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-128249883.651733","20070506163624-800465285.778046","BAEA",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-128355264.663696","20070506163624-664115488.529205","GBHE",4.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-128738403.320313","20070506163624-218578875.06485","MEGU",6.5000000000000000e+01,"Unk","Unk",,"X",,"Count approximate."
"20070506183552-129641771.316528","20070506163624-976013720.035553","BOGU",,"Unk","Unk",,"O",,
"20070506183552-130197882.652283","20070506163624-575348556.041718","HERG",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-130420446.395874","20070506163624-48625409.6031189","AGWT",7.0000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-130476236.343384","20070506163624-376609861.850739","BOGU",7.0000000000000000e+00,"Unk","Unk",,"X",,
"20070506183552-132709741.592407","20070506175816-790480017.662048","LEYE",1.0000000000000000e+00,"Unk","Unk",,"X",,
"20070506183552-133132815.361023","20070506163624-995422780.513763","GWGU",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-133155107.498169","20070506163624-464253604.412079","BOGU",6.6000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-134712338.447571","20070506163624-673322737.216949","LTDU",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-135355949.401855","20070506163624-345450699.329376","BAEA",2.0000000000000000e+00,"Imm","Unk","N","O",,"At mouth of Taiya fishing."
"20070506183552-135636329.650879","20070506163624-365363895.893097","NOCR",3.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-13614773.7503052","20070506163624-73816478.2524109","NOCR",6.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-136246919.631958","20070506163624-432827174.663544","COME",4.0000000000000000e+00,"Unk","Unk",,"O",,"Brood?"
"20070506183552-136296153.068542","20070506163624-109438002.109528","HADU",3.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-137375235.557556","20070506163624-890102326.869965","HASE",1.0000000000000000e+00,"Unk","Unk",,"O",,"Harbor seal."
"20070506183552-137688040.733337","20070506175816-627642035.484314","LEYE",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-138200759.887695","20070506163624-664115488.529205","ARTE",4.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-138506174.087524","20070506163624-278410971.164703","COME",2.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-138732314.109802","20070506163624-461559355.258942","GWGU",2.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-140191555.023193","20070506163624-692628085.613251","SESA",6.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-143431782.722473","20070506163624-367280185.222626","MAMU",5.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-143505215.644836","20070506163624-423793256.282806","MAMU",2.6800000000000000e+02,"Unk","Unk",,"P",,
"20070506183552-145674824.714661","20070506163624-371118009.090424","BAEA",2.0000000000000000e+00,"Ad","Unk",,"O",,
"20070506183552-14581799.5071411","20070506175816-919377088.546753","BAEA",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-145849227.905273","20070506163624-629923999.30954","ULGU",6.0000000000000000e+00,"Unk","Unk",,"O",,
