Event_ID,Species,# Observed,Age,Composition,Breeding Status,Notes
20070506163624-990735828.876495,COME,2.00E+00,,,O,
20070506163624-990735828.876495,CORA,2.00E+00,,,O,
20070506163624-990735828.876495,HERG,6.00E+00,,,O,
20070506163624-990735828.876495,SUSC,9.50E+02,,Even sex ratio,O,
20070506163624-800465285.778046,AGWT,1.60E+01,,,O,
20070506163624-800465285.778046,BAEA,1.00E+00,,,O,
20070506163624-800465285.778046,BAGO,2.00E+00,,,O,
20070506163624-800465285.778046,BOGU,2.00E+00,,,O,
20070506163624-800465285.778046,GWFG,1.00E+00,,,O,
20070506163624-800465285.778046,MALL,1.50E+01,,,O,
20070506163624-800465285.778046,MAMU,1.10E+01,,,O,
20070506163624-800465285.778046,MEGU,3.00E+00,,,O,
20070506163624-800465285.778046,UNGU,4.00E+00,,,O,
20070506163624-404970943.927765,BOGU,6.00E+00,,,O,
20070506163624-404970943.927765,HERG,4.00E+00,,,O,
20070506163624-404970943.927765,MAMU,4.00E+00,,,O,
20070506163624-404970943.927765,RBME,1.20E+01,,,O,
20070506163624-58849036.693573,BAGO,6.00E+00,,,O,
20070506163624-58849036.693573,COGO,2.00E+00,,,O,
20070506163624-58849036.693573,HARD,2.00E+00,,,O,
20070506163624-58849036.693573,LEYE,2.00E+00,,,O,
20070506163624-58849036.693573,MAMU,2.00E+00,,,O,
20070506163624-58849036.693573,RNGR,1.20E+01,,,O,
20070506163624-75741708.278656,BAEA,2.00E+00,,,O,
20070506163624-75741708.278656,BEKI,1.00E+00,,,O,
20070506163624-75741708.278656,BOGU,5.00E+00,,,O,
20070506163624-75741708.278656,MAMU,3.80E+01,,,O,
20070506163624-75741708.278656,MEGU,2.00E+00,,,O,
20070506163624-75741708.278656,SUSC,3.00E+01,,,O,
20070506163624-378900587.558746,BOGU,6.00E+00,,,O,
20070506163624-378900587.558746,BUFF,4.00E+00,,,O,
20070506163624-378900587.558746,COGO,2.00E+00,,,O,
20070506163624-378900587.558746,HERG,7.00E+00,,,O,
20070506163624-378900587.558746,HOGR,2.00E+00,,,O,
20070506163624-378900587.558746,MALL,6.20E+01,,,O,
20070506163624-378900587.558746,MAMU,8.90E+01,,,O,
20070506163624-378900587.558746,MEGU,4.00E+00,,,O,
20070506163624-48625409.6031189,AGWT,7.00E+01,,,O,
20070506163624-48625409.6031189,AMWI,5.90E+01,,,O,
20070506163624-48625409.6031189,BAEA,8.00E+00,,,O,
20070506163624-48625409.6031189,BAGO,8.00E+00,,,O,
20070506163624-48625409.6031189,BOGU,2.00E+00,,,O,
20070506163624-48625409.6031189,BUFF,1.40E+01,,,O,
20070506163624-48625409.6031189,COGO,3.00E+00,,,O,
20070506163624-48625409.6031189,GRYE,1.00E+00,,,O,
20070506163624-48625409.6031189,HERG,1.60E+01,,,O,
20070506163624-48625409.6031189,HOGR,1.00E+00,,,O,
20070506163624-48625409.6031189,MALL,2.29E+02,,,O,
20070506163624-48625409.6031189,MAMU,1.10E+01,,,O,
20070506163624-48625409.6031189,MEGU,2.60E+01,,,O,
20070506163624-48625409.6031189,NOPI,2.40E+01,,,O,
20070506163624-48625409.6031189,NSHO,1.00E+01,,,O,
20070506163624-48625409.6031189,RBME,5.00E+00,,,O,
20070506175816-261368274.688721,AGWT,5.40E+01,,,O,
20070506175816-261368274.688721,AMWI,4.80E+01,,,O,
20070506175816-261368274.688721,BAEA,9.00E+00,,,O,
20070506175816-261368274.688721,BAGO,1.00E+00,,,O,
20070506175816-261368274.688721,BUFF,4.00E+00,,,O,
20070506175816-261368274.688721,COGO,1.20E+01,,,O,
20070506175816-261368274.688721,COME,2.30E+01,,,O,
20070506175816-261368274.688721,CORA,1.00E+00,,,O,
20070506175816-261368274.688721,GWGU,3.00E+00,,,O,
20070506175816-261368274.688721,HERG,6.50E+01,,,O,
20070506175816-261368274.688721,MALL,1.27E+02,,,O,
20070506175816-261368274.688721,MEGU,3.40E+01,,,O,
20070506175816-261368274.688721,RNDU,9.00E+00,,,O,
20070506175816-261368274.688721,TRES,8.00E+00,,,O,
20070506175816-261368274.688721,UNYE,6.00E+00,,,O,
20070506175816-261368274.688721,VGSW,1.00E+01,,,O,
20070506163624-573792397.975922,AGWT,2.00E+00,,,O,
20070506163624-573792397.975922,MAMU,2.00E+00,,,O,
20070506163624-59037029.7431946,AGWT,6.00E+00,,,O,
20070506163624-59037029.7431946,BAGO,4.60E+01,,,O,
20070506163624-59037029.7431946,BUFF,7.00E+00,,,O,
20070506163624-59037029.7431946,GRSC,2.00E+00,,,O,
20070506163624-59037029.7431946,HARD,1.40E+01,,,O,
20070506163624-59037029.7431946,HOGR,9.00E+00,,,O,
20070506163624-59037029.7431946,MAMU,2.00E+00,,,O,
20070506163624-59037029.7431946,SUSC,1.00E+00,,,O,
20070506163624-461559355.258942,AGWT,1.20E+01,,,O,
20070506163624-461559355.258942,AMWI,1.20E+01,,,O,
20070506163624-461559355.258942,BAEA,5.00E+00,,,O,
20070506163624-461559355.258942,BOGU,1.77E+02,,,O,
20070506163624-461559355.258942,BUFF,6.00E+00,,,O,
20070506163624-461559355.258942,COGO,1.00E+00,,,O,
20070506163624-461559355.258942,GRSC,3.80E+01,,,O,
20070506163624-461559355.258942,GWGU,2.00E+00,,,O,
20070506163624-461559355.258942,HERG,2.00E+00,,,O,
20070506163624-461559355.258942,HOGR,3.00E+00,,,O,
20070506163624-461559355.258942,MAMU,2.30E+01,,,O,
20070506163624-461559355.258942,MEGU,1.80E+01,,,O,
20070506163624-461559355.258942,NSHO,3.60E+01,,,O,
20070506163624-461559355.258942,RBME,1.90E+01,,,O,
20070506163624-461559355.258942,RNGR,1.00E+00,,,O,
20070506163624-461559355.258942,RTLO,1.00E+00,,,O,
20070506163624-461559355.258942,SUSC,6.10E+02,,,O,
20070506163624-741991221.904755,AGWT,7.00E+00,,,O,
20070506163624-741991221.904755,BOGU,1.00E+00,,,O,
20070506163624-741991221.904755,BUFF,8.00E+00,,,O,
20070506163624-741991221.904755,CANV,1.00E+00,,,O,
20070506163624-741991221.904755,COGO,1.00E+00,,,O,
20070506163624-741991221.904755,COLO,1.00E+00,,,O,
20070506163624-741991221.904755,HERG,2.00E+00,,,O,
20070506163624-741991221.904755,HOGR,9.00E+00,,,O,
20070506163624-741991221.904755,MAMU,1.00E+01,,,O,
20070506163624-741991221.904755,MEGU,2.00E+00,,,O,
20070506163624-741991221.904755,NSHO,4.70E+01,,,O,
20070506163624-741991221.904755,RBME,7.00E+00,,,O,
20070506163624-741991221.904755,REDH,1.00E+00,,,O,
20070506163624-741991221.904755,RNGR,1.00E+00,,,O,
20070506163624-741991221.904755,SUSC,5.00E+00,,,O,
