Common_Name,Code
"Great Tinamou","GRTI"
"Highland Tinamou","HITI"
"Little Tinamou","LITI"
"Thicket Tinamou","THTI"
"Slaty-breasted Tinamou","SBTI"
"Choco Tinamou","CHTI"
"White-faced Whistling-Duck","WFWD"
"Black-bellied Whistling-Duck","BBWD"
"West Indian Whistling-Duck","WIWD"
"Fulvous Whistling-Duck","FUWD"
"Bean Goose","BEGO"
"Pink-footed Goose","PFGO"
"Greater White-fronted Goose","GWFG"
"Lesser White-fronted Goose","LWFG"
"Emperor Goose","EMGO"
"Snow Goose","SNGO"
"Lesser Snow Goose White-morph","LSGW"
"Lesser Snow Goose Intermediate-morph","LSGI"
"Lesser Snow Goose Blue-morph","LSGB"
"Greater Snow Goose White-morph","GSGW"
"Greater Snow Goose Intermediate-morph","GSGI"
"Greater Snow Goose Blue-morph","GSGB"
"Snow X Ross's Goose Hybrid","SRGH"
"Ross's Goose","ROGO"
"Brant","BRAN"
"Atlantic Brant","ATBR"
"Brant Intergrade","BRIN"
"Black Brant","BLBR"
"Barnacle Goose","BARG"
"Cackling Goose","CACG"
"Aleutian Cackling Goose","ACGO"
"Minima Cackling Goose","MCGO"
"Canada Goose","CANG"
"Large Canada Goose","LCGO"
"Small Canada Goose","SCGO"
"Hawaiian Goose","HAGO"
"Mute Swan","MUSW"
"Trumpeter Swan","TRUS"
"Tundra Swan","TUSW"
"Whistling Swan","WHSW"
"Bewick's Swan","BESW"
"Whooper Swan","WHOS"
"Comb Duck","CODU"
"Orinoco Goose","ORGO"
"Muscovy Duck","MUDU"
"Wood Duck","WODU"
"Gadwall","GADW"
"Falcated Duck","FADU"
"Eurasian Wigeon","EUWI"
"American Wigeon","AMWI"
"American Black Duck","ABDU"
"American Black Duck X Mallard Hybrid","ABDH"
"Mallard","MALL"
"Mexican Duck","MEDU"
"Mottled Duck","MODU"
"Hawaiian Duck","HAWD"
"Laysan Duck","LAYD"
"Spot-billed Duck","SBDU"
"Blue-winged Teal","BWTE"
"Cinnamon Teal","CITE"
"Unidentified Teal","UNTE"
"Northern Shoveler","NSHO"
"White-cheeked Pintail","WCHP"
"Northern Pintail","NOPI"
"Garganey","GARG"
"Baikal Teal","BATE"
"Green-winged Teal","GWTE"
"American Green-winged Teal","AGWT"
"Eurasian Green-winged Teal","EGWT"
"Canvasback","CANV"
"Redhead","REDH"
"Common Pochard","CPOC"
"Ring-necked Duck","RNDU"
"Tufted Duck","TUDU"
"Greater Scaup","GRSC"
"Lesser Scaup","LESC"
"Steller's Eider","STEI"
"Spectacled Eider","SPEI"
"King Eider","KIEI"
"Common Eider","COEI"
"Harlequin Duck","HADU"
"Labrador Duck","LABD"
"Surf Scoter","SUSC"
"White-winged Scoter","WWSC"
"Black Scoter","BLSC"
"Long-tailed Duck","LTDU"
"Bufflehead","BUFF"
"Common Goldeneye","COGO"
"Barrow's Goldeneye","BAGO"
"Smew","SMEW"
"Hooded Merganser","HOME"
"Common Merganser","COME"
"Red-breasted Merganser","RBME"
"Masked Duck","MADU"
"Ruddy Duck","RUDU"
"Unidentified Duck","UNDU"
"Plain Chachalaca","PLCH"
"Gray-headed Chachalaca","GHEC"
"Rufous-vented Chachalaca","RVCH"
"Rufous-bellied Chachalaca","RBEC"
"West Mexican Chachalaca","WMCH"
"White-bellied Chachalaca","WBCH"
"Crested Guan","CRGU"
"Black Guan","BLAG"
"Highland Guan","HIGU"
"Horned Guan","HOGU"
"Great Curassow","GRCU"
"Chukar","CHUK"
"Gray Francolin","GRAF"
"Black Francolin","BLFR"
"Erckel's Francolin","ERFR"
"Himalayan Snowcock","HISN"
"Gray Partridge","GRAP"
"Japanese Quail","JAQU"
"Red Junglefowl","REJU"
"Kalij Pheasant","KAPH"
"Ring-necked Pheasant","RNEP"
"Common Peafowl","CPEA"
"Ruffed Grouse","RUGR"
"Greater Sage-Grouse","GRSG"
"Gunnison Sage-Grouse","GUSG"
"Spruce Grouse","SPGR"
"Willow Ptarmigan","WIPT"
"Rock Ptarmigan","ROPT"
"White-tailed Ptarmigan","WTPT"
"Dusky Grouse","DUGR"
"Sooty Grouse","SOGR"
"Sharp-tailed Grouse","STGR"
"Greater Prairie-Chicken","GRPC"
"Lesser Prairie-Chicken","LEPC"
"Wild Turkey","WITU"
"Ocellated Turkey","OCTU"
"Helmeted Guineafowl","HELG"
"Bearded Wood-Partridge","BEWP"
"Long-tailed Wood-Partridge","LTWP"
"Buffy-crowned Wood-Partridge","BCWP"
